name,type,events,total_artists,notable_artists,is_target
Razzmatazz,venue,140,646,380,True
Miles Away,promoter,123,630,372,True
NitsaClub,promoter,121,406,299,True
Nitsa Club,venue,123,410,297,True
INPUT High Fidelity Dance Club,promoter,172,388,297,True
Les Enfants Brillants,promoter,203,400,263,True
Human Club,promoter,62,406,260,True
La Terrrazza,venue,130,300,183,True
Parc del Fòrum,venue,19,174,156,True
Centris Events,promoter,54,183,136,True
Bikini Club,venue,107,193,134,True
SIGHT Worldwide,promoter,69,183,134,True
Ku Barcelona,venue,78,206,133,True
Brunch Electronik Bcn,promoter,62,178,131,True
FUEGO,promoter,54,263,127,True
Loud-Contact,promoter,31,137,121,True
Output Barcelona,promoter,32,136,115,True
SOUNDIT,promoter,25,149,111,True
Seaseaclub Barcelona,venue,50,176,108,True
La Paloma,venue,87,152,106,True
Bosc Tancat / Diverbosc,venue,17,120,104,True
Night Sun Group,promoter,55,138,96,True
Macarena Club,venue,368,333,88,True
MacarenaClub,promoter,367,331,88,True
LAUT,venue,125,173,87,True
TUNNEL BARCELONA,promoter,55,142,87,True
303 Audiophile Bar,venue,172,287,79,True
303AudiophileBar,promoter,167,275,78,True
"TBA - Studio Stereo, close to pl. Catalunya, 08007, Barcelona",venue,114,243,74,True
Studio Stereo,promoter,114,243,74,True
Sónar Festival / Advanced Music,promoter,5,86,72,True
Hola Club Sitges (Cala Vallcarca),venue,52,129,68,True
M7 Club,venue,295,222,67,True
DETROIT CLUB,venue,90,135,66,True
OFFWEEK FESTIVAL,promoter,9,67,66,True
Parc Nou. El Prat de Llobregat,venue,2,69,57,True
M7CLUB.net,promoter,287,200,56,True
Hola Beach Club,promoter,43,95,55,True
MID SUMMER PRODUCTIONS SL,promoter,27,84,55,True
TBA,venue,181,315,53,True
BRIDGE 48,promoter,90,220,53,True
NOM Barcelona,promoter,52,54,50,True
Mostra,promoter,12,74,50,True
Brunch Electronik Festival,promoter,7,61,50,True
Fira Barcelona,venue,5,65,49,True
Primavera Sound,promoter,16,54,49,True
Luz De Gas,venue,30,69,45,True
Fira Gran Via,venue,5,59,45,True
RED58,venue,70,113,42,True
THE GARAGE CLUB BCN,promoter,50,64,41,True
Pacha Barcelona Off Bcn,promoter,6,51,41,True
SWING,promoter,21,55,40,True
unlockedbcn,promoter,25,68,40,True
Noizer,promoter,46,69,40,True
OFFBCN Festival,promoter,5,40,39,True
E4D Marketing,promoter,5,40,39,True
ELEMENTS 4 DANCE,promoter,5,40,39,True
Defected,promoter,4,40,39,True
City Hall,venue,264,182,37,True
Plaza Monumental de Barcelona,venue,11,49,37,True
Poble Espanyol,venue,19,51,37,True
Sala Upload Barcelona,venue,45,123,36,True
Pyramid Ibiza,promoter,3,37,36,True
Amnesia Ibiza,promoter,2,37,36,True
BlackWorks,promoter,3,37,36,True
Rachdingue,venue,18,75,35,True
Sala Apolo,venue,52,76,33,True
Innova Group,promoter,27,59,33,True
7833 Soundlab,venue,83,169,32,True
Castell de BEN Viure,venue,4,32,32,True
Duro Festival,promoter,4,37,32,True
Moog Club,venue,367,68,31,True
Skyfall Cocktail Club,venue,38,79,31,True
BORIS CLUB,venue,70,66,31,True
